ProviderName,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,BilledCost,EffectiveCost,ListCost,ChargeCategory,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,ServiceName,ConsumedQuantity,ConsumedUnit,RegionName,ResourceId,ResourceName,SkuId,Tags,UsageType,ProductFamily
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),vigneshwarms,CoreStack-Engg,copilot_for_business,"{""username"":""vigneshwarms"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),naveenkumarkalusulingamcs,CoreStack-Engg,copilot_for_business,"{""username"":""naveenkumarkalusulingamcs"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Avinash-Naidu,CoreStack-Engg,copilot_for_business,"{""username"":""Avinash-Naidu"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),sankara-nps,CoreStack-Engg,copilot_for_business,"{""username"":""sankara-nps"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),bikash2056,CoreStack-Engg,copilot_for_business,"{""username"":""bikash2056"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),cs-doug,CoreStack-Engg,copilot_for_business,"{""username"":""cs-doug"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),gayathri-qa05,CoreStack-Engg,copilot_for_business,"{""username"":""gayathri-qa05"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),corestack-mp,CoreStack-Engg,copilot_for_business,"{""username"":""corestack-mp"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),vigneshwaranCorestack,CoreStack-Engg,copilot_for_business,"{""username"":""vigneshwaranCorestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),uday-csio,CoreStack-Engg,copilot_for_business,"{""username"":""uday-csio"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Archana25800,CoreStack-Engg,copilot_for_business,"{""username"":""Archana25800"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),corestack-RKS,CoreStack-Engg,copilot_for_business,"{""username"":""corestack-RKS"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),AkashCorestack,CoreStack-Engg,copilot_for_business,"{""username"":""AkashCorestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Vishali0325,CoreStack-Engg,copilot_for_business,"{""username"":""Vishali0325"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),alec-greiwe,CoreStack-Engg,copilot_for_business,"{""username"":""alec-greiwe"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),ogvinoth,CoreStack-Engg,copilot_for_business,"{""username"":""ogvinoth"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Mahalakshmi0103,CoreStack-Engg,copilot_for_business,"{""username"":""Mahalakshmi0103"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),aakashgpspawan,CoreStack-Engg,copilot_for_business,"{""username"":""aakashgpspawan"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),VamshikrishnaDataEng,CoreStack-Engg,copilot_for_business,"{""username"":""VamshikrishnaDataEng"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Nithincorestack,CoreStack-Engg,copilot_for_business,"{""username"":""Nithincorestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),SRIDHAR-CORESTACK,CoreStack-Engg,copilot_for_business,"{""username"":""SRIDHAR-CORESTACK"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
