"date","product","sku","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","username","organization","repository","workflow_path","cost_center_name"
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","KavinRajCorestack","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","KathirS-dev","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Deepachandran22","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","balan-ukkirapandian","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","boobathi101","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","ajeesh-git","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","compliance-user","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Chitraj-2025","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","kavi-yarasi","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","pylaniharika","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","cs-gangareddy","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","KarthikeyaniS","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","jayaprakashr-corestack","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","manik1563","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gvg-cs","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","NithinRam07","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","karthigavaradhan","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","saravana1257","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","amitheshkn-corestack","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","ponrajcorestack","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","mohanlalcorestack","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vidyasagarkarnati","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sundarmurthi007","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Subhashini-Varatharajan","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sneham0615","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","SaranyaJeyakumar","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","ramya-c2","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","37","requests","0.04","1.4800000000000006","1.4800000000000006","0","vigneshwarms","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","87","requests","0.04","3.480000000000002","3.480000000000002","0","karthigavaradhan","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","9","requests","0.04","0.36","0.36","0","boobathi101","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","15","requests","0.04","0.6","0.6","0","kavi-yarasi","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","33","requests","0.04","1.3200000000000005","1.3200000000000005","0","Allwin-saj","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","16","requests","0.04","0.64","0.64","0","sujai-r-1991","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","0.66","requests","0.04","0.0264","0.0264","0","KavinRajCorestack","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","27","requests","0.04","1.0800000000000003","1.0800000000000003","0","vidyasagarkarnati","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","zubairhussainDE","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sankara-nps","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Subhashini-Varatharajan","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vigneshwarms","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","dineshchandmaddi","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vijaycorestack","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","VelanS-CS","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","tarunch1810-bot","CoreStack-Engg","","",""
